Contract,Test Limit,Mode,Node Difference,Edge Difference,Reduce Combinations
AssetTransfer,1000,states,-7,-32,not_reduce_combinations
BasicProvenance,1000,states,0,0,not_reduce_combinations
DefectiveComponentCounter,1000,states,1,1,not_reduce_combinations
DigitalLocker,1000,states,0,-38,not_reduce_combinations
FrequentFlyerRewardsCalculator,1000,states,0,0,not_reduce_combinations
HelloBlockchain,1000,states,0,0,not_reduce_combinations
RefrigeratedTransportation,1000,states,0,-5,not_reduce_combinations
RoomThermostat,1000,states,-1,-3,not_reduce_combinations
SimpleMarketplace,1000,states,0,-1,not_reduce_combinations
AssetTransferFixed,1000,states,-9,-30,not_reduce_combinations
BasicProvenanceFixed,1000,states,-1,-1,not_reduce_combinations
DefectiveComponentCounterFixed,1000,states,0,0,not_reduce_combinations
DigitalLockerFixed,1000,states,-2,-14,not_reduce_combinations
HelloBlockchainFixed,1000,states,0,0,not_reduce_combinations
RefrigeratedTransportationFixed,1000,states,-1,-4,not_reduce_combinations
SimpleMarketplaceFixed,1000,states,0,0,not_reduce_combinations
AssetTransfer,50000,states,-6,-22,not_reduce_combinations
BasicProvenance,50000,states,0,0,not_reduce_combinations
DefectiveComponentCounter,50000,states,1,2,not_reduce_combinations
DigitalLocker,50000,states,0,-2,not_reduce_combinations
FrequentFlyerRewardsCalculator,50000,states,0,0,not_reduce_combinations
HelloBlockchain,50000,states,0,0,not_reduce_combinations
RefrigeratedTransportation,50000,states,0,-1,not_reduce_combinations
RoomThermostat,50000,states,0,0,not_reduce_combinations
SimpleMarketplace,50000,states,0,0,not_reduce_combinations
AssetTransferFixed,50000,states,-6,-22,not_reduce_combinations
BasicProvenanceFixed,50000,states,0,0,not_reduce_combinations
DefectiveComponentCounterFixed,50000,states,1,2,not_reduce_combinations
DigitalLockerFixed,50000,states,0,-1,not_reduce_combinations
HelloBlockchainFixed,50000,states,0,0,not_reduce_combinations
RefrigeratedTransportationFixed,50000,states,0,-2,not_reduce_combinations
SimpleMarketplaceFixed,50000,states,0,0,not_reduce_combinations
AssetTransfer,500000,states,-3,-18,not_reduce_combinations
BasicProvenance,500000,states,0,0,not_reduce_combinations
DefectiveComponentCounter,500000,states,1,3,not_reduce_combinations
DigitalLocker,500000,states,0,0,not_reduce_combinations
FrequentFlyerRewardsCalculator,500000,states,0,0,not_reduce_combinations
HelloBlockchain,500000,states,0,0,not_reduce_combinations
RefrigeratedTransportation,500000,states,0,0,not_reduce_combinations
RoomThermostat,500000,states,0,0,not_reduce_combinations
SimpleMarketplace,500000,states,0,0,not_reduce_combinations
AssetTransferFixed,500000,states,-3,-14,not_reduce_combinations
BasicProvenanceFixed,500000,states,0,0,not_reduce_combinations
DefectiveComponentCounterFixed,500000,states,1,2,not_reduce_combinations
DigitalLockerFixed,500000,states,0,0,not_reduce_combinations
HelloBlockchainFixed,500000,states,0,0,not_reduce_combinations
RefrigeratedTransportationFixed,500000,states,0,0,not_reduce_combinations
SimpleMarketplaceFixed,500000,states,0,0,not_reduce_combinations
